Id,Name,Created at,Updated at,Score 1,Score 2,Score 3,Cupboard
191,Smoked salmon,2021-04-26 10:52:44 UTC,2021-05-21 21:23:09 UTC,5,1,0,false
190,Smoked mackerel,2021-04-26 10:52:10 UTC,2021-05-21 21:23:09 UTC,5,1,0,false
189,Peanut butter,2021-04-26 10:48:18 UTC,2021-05-21 21:23:09 UTC,5,1,0,false
188,Parmigiano cheese,2021-04-26 10:47:19 UTC,2021-05-21 21:23:09 UTC,5,1,0,false
186,Jam,2021-04-26 10:44:29 UTC,2021-05-21 21:23:09 UTC,5,1,0,false
185,Ice cream,2021-04-26 10:43:39 UTC,2021-05-21 21:23:09 UTC,5,1,0,false
184,Horseradish sauce,2021-04-26 10:42:13 UTC,2021-05-21 21:23:09 UTC,5,1,0,false
183,English mustard,2021-04-26 10:40:52 UTC,2021-05-21 21:23:09 UTC,5,1,0,false
182,Cream cheese,2021-04-26 10:39:12 UTC,2021-05-21 21:23:09 UTC,5,1,0,false
181,Chives,2021-04-26 10:38:16 UTC,2021-05-21 21:23:09 UTC,5,1,0,false
180,Cherry,2021-04-26 10:36:21 UTC,2021-05-21 21:23:09 UTC,5,1,0,false
179,Caster sugar,2021-04-26 10:35:33 UTC,2021-05-21 21:23:09 UTC,5,1,0,false
178,Blue Cheese,2021-04-26 10:32:49 UTC,2021-05-21 21:23:09 UTC,5,1,0,false
177,Lemon Zest,2021-04-05 19:08:11 UTC,2021-04-05 19:08:11 UTC,5,1,0,false
176,Breadcrumbs,2021-03-31 22:33:14 UTC,2021-03-31 22:33:14 UTC,5,1,0,false
175,White Chocolate Chips,2021-03-13 17:53:24 UTC,2021-03-13 17:53:24 UTC,5,1,0,false
174,Dark Chocolate Chips,2021-03-13 17:53:24 UTC,2021-03-13 17:53:24 UTC,5,1,0,false
173,Double Cream,2021-03-13 17:53:24 UTC,2021-03-13 17:53:24 UTC,5,1,0,false
172,Chili Flakes,2021-03-13 17:53:24 UTC,2021-03-13 17:53:24 UTC,5,1,0,false
171,Guanciale,2021-03-13 17:53:24 UTC,2021-03-13 17:53:24 UTC,5,1,0,false
170,Baking Powder,2021-03-13 17:53:24 UTC,2021-03-13 17:53:24 UTC,5,1,0,false
169,Fusilli,2021-03-13 17:53:24 UTC,2021-03-13 17:53:24 UTC,5,1,0,false
168,Baking Soda,2021-03-13 17:53:24 UTC,2021-03-13 17:53:24 UTC,5,1,0,false
167,Flour,2021-03-13 17:53:24 UTC,2021-03-13 17:53:24 UTC,5,1,0,false
166,Breading Flour,2021-03-13 17:53:24 UTC,2021-03-13 17:53:24 UTC,5,1,0,false
165,Wheat Flour,2021-03-13 17:53:24 UTC,2021-03-13 17:53:24 UTC,5,1,0,false
